symbol,timestamp,open,high,low,close,volume,trade_count
600519.XSHG,2024-12-02 13:12:00,1469.2,1469.73,1468.13,1468.13,7767.0,11408834.0
600519.XSHG,2024-12-02 13:13:00,1467.93,1469.76,1467.83,1469.75,11391.0,16723436.0
600519.XSHG,2024-12-02 13:14:00,1469.72,1471.02,1468.8,1470.63,2900.0,4262422.0
600519.XSHG,2024-12-02 13:15:00,1470.62,1470.71,1469.75,1470.25,5488.0,8069079.0
600519.XSHG,2024-12-02 13:16:00,1469.74,1470.73,1468.75,1468.86,10148.0,14915675.0
600519.XSHG,2024-12-02 13:17:00,1470.57,1471.05,1468.68,1470.57,7870.0,11567864.0
600519.XSHG,2024-12-02 13:18:00,1471.04,1472.66,1469.76,1472.65,10045.0,14777744.0
600519.XSHG,2024-12-02 13:19:00,1472.66,1472.66,1471.56,1471.56,3935.0,5792817.0
600519.XSHG,2024-12-02 13:20:00,1472.58,1472.58,1470.26,1470.26,6835.0,10055450.0
600519.XSHG,2024-12-02 13:21:00,1469.87,1472.33,1469.87,1471.28,4246.0,6243874.0
600519.XSHG,2024-12-02 13:22:00,1471.28,1471.86,1470.13,1470.13,3935.0,5789816.0
600519.XSHG,2024-12-02 13:23:00,1469.86,1470.24,1468.85,1468.85,9631.0,14153111.0
600519.XSHG,2024-12-02 13:24:00,1468.88,1469.78,1468.48,1468.95,12427.0,18253359.0
600519.XSHG,2024-12-02 13:25:00,1469.05,1470.15,1469.05,1469.73,3107.0,4564854.0
600519.XSHG,2024-12-02 13:26:00,1469.1,1469.61,1469.02,1469.02,6420.0,9432078.0
600519.XSHG,2024-12-02 13:27:00,1469.02,1469.72,1468.8,1469.02,16879.0,24794401.0
600519.XSHG,2024-12-02 13:28:00,1469.72,1470.02,1469.72,1470.02,4349.0,6393027.0
600519.XSHG,2024-12-02 13:29:00,1470.02,1470.02,1469.78,1470.0,5799.0,8524534.0
600519.XSHG,2024-12-02 13:30:00,1470.0,1470.04,1469.83,1469.86,9113.0,13395391.0
600519.XSHG,2024-12-02 13:31:00,1470.0,1471.23,1469.82,1469.99,12323.0,18115842.0
600519.XSHG,2024-12-02 13:32:00,1470.0,1471.69,1470.0,1471.3,7767.0,11425592.0
600519.XSHG,2024-12-02 13:33:00,1471.35,1472.1,1471.34,1472.09,5178.0,7619920.0
600519.XSHG,2024-12-02 13:34:00,1471.43,1472.42,1471.43,1472.33,9423.0,13873866.0
600519.XSHG,2024-12-02 13:35:00,1472.33,1472.33,1471.19,1471.5,9113.0,13411554.0
600519.XSHG,2024-12-02 13:36:00,1471.18,1471.18,1470.76,1471.11,5695.0,8378656.0
600519.XSHG,2024-12-02 13:37:00,1471.29,1472.66,1471.29,1472.54,10355.0,15243055.0
600519.XSHG,2024-12-02 13:38:00,1472.54,1473.51,1472.54,1473.5,7974.0,11744196.0
600519.XSHG,2024-12-02 13:39:00,1473.5,1473.61,1473.34,1473.34,7559.0,11138794.0
600519.XSHG,2024-12-02 13:40:00,1473.42,1473.43,1473.15,1473.25,7870.0,11595250.0
600519.XSHG,2024-12-02 13:41:00,1474.38,1475.33,1473.61,1473.61,20328.0,29966763.0
600519.XSHG,2024-12-02 13:42:00,1473.62,1475.62,1473.62,1475.62,26303.0,38799361.0
600519.XSHG,2024-12-02 13:43:00,1476.12,1476.26,1473.8,1474.59,26199.0,38666589.0
600519.XSHG,2024-12-02 13:44:00,1474.58,1475.56,1474.58,1474.59,7974.0,11759424.0
600519.XSHG,2024-12-02 13:45:00,1474.74,1474.8,1474.43,1474.49,6317.0,9314855.0
600519.XSHG,2024-12-02 13:46:00,1473.75,1474.49,1473.32,1473.32,5385.0,7936107.0
600519.XSHG,2024-12-02 13:47:00,1473.34,1473.74,1473.32,1473.34,6938.0,10222613.0
600519.XSHG,2024-12-02 13:48:00,1474.16,1475.27,1473.75,1474.59,12944.0,19081174.0
600519.XSHG,2024-12-02 13:49:00,1474.51,1474.59,1474.46,1474.52,5903.0,8703719.0
600519.XSHG,2024-12-02 13:50:00,1474.44,1475.08,1474.43,1474.62,10459.0,15423100.0
600519.XSHG,2024-12-02 13:51:00,1474.72,1475.55,1474.72,1475.07,16051.0,23677631.0
600519.XSHG,2024-12-02 13:52:00,1475.07,1475.07,1474.58,1474.58,4660.0,6872943.0
600519.XSHG,2024-12-02 13:53:00,1474.59,1474.59,1474.44,1474.59,8595.0,12673234.0
600519.XSHG,2024-12-02 13:54:00,1474.59,1476.4,1474.56,1476.04,18950.0,27958914.0
600519.XSHG,2024-12-02 13:55:00,1475.57,1476.04,1475.46,1475.46,6731.0,9932288.0
600519.XSHG,2024-12-02 13:56:00,1475.33,1475.56,1475.3,1475.33,10666.0,15736685.0
600519.XSHG,2024-12-02 13:57:00,1475.23,1475.33,1475.21,1475.22,5074.0,7485834.0
600519.XSHG,2024-12-02 13:58:00,1474.59,1474.64,1474.16,1474.39,7249.0,10688455.0
600519.XSHG,2024-12-02 13:59:00,1474.0,1474.0,1471.69,1472.51,9009.0,13270289.0
600519.XSHG,2024-12-02 14:00:00,1472.51,1472.51,1470.93,1472.37,13462.0,19810697.0
600519.XSHG,2024-12-02 14:01:00,1472.29,1472.29,1471.49,1472.28,4763.0,7012517.0
600519.XSHG,2024-12-02 14:02:00,1472.28,1472.66,1471.97,1472.66,9216.0,13567969.0
600519.XSHG,2024-12-02 14:03:00,1472.66,1472.8,1472.65,1472.8,4349.0,6405040.0
600519.XSHG,2024-12-02 14:04:00,1473.14,1474.04,1473.14,1473.65,4556.0,6713767.0
600519.XSHG,2024-12-02 14:05:00,1474.35,1474.35,1473.58,1474.28,4660.0,6868896.0
600519.XSHG,2024-12-02 14:06:00,1474.28,1474.39,1473.57,1474.39,8595.0,12671246.0
600519.XSHG,2024-12-02 14:07:00,1474.39,1474.39,1473.62,1473.64,5385.0,7937771.0
600519.XSHG,2024-12-02 14:08:00,1473.64,1474.11,1473.36,1473.36,4556.0,6714251.0
600519.XSHG,2024-12-02 14:09:00,1473.32,1473.62,1473.2,1473.62,12323.0,18155404.0
600519.XSHG,2024-12-02 14:10:00,1473.61,1474.11,1473.23,1474.11,6835.0,10070204.0
600519.XSHG,2024-12-02 14:11:00,1474.11,1474.15,1473.62,1474.12,5903.0,8700997.0
600519.XSHG,2024-12-02 14:12:00,1474.14,1474.14,1473.41,1474.03,18847.0,27780051.0
600519.XSHG,2024-12-02 14:13:00,1474.01,1474.01,1473.39,1473.6,2071.0,3051997.0
600519.XSHG,2024-12-02 14:14:00,1473.53,1473.59,1473.49,1473.51,4556.0,6713973.0
600519.XSHG,2024-12-02 14:15:00,1473.44,1473.47,1473.2,1473.2,5799.0,8544004.0
600519.XSHG,2024-12-02 14:16:00,1473.19,1473.2,1473.13,1473.2,9320.0,13729671.0
600519.XSHG,2024-12-02 14:17:00,1473.19,1473.2,1473.04,1473.06,4660.0,6864559.0
600519.XSHG,2024-12-02 14:18:00,1473.04,1473.04,1472.66,1472.66,4466.0,6577983.0
600519.XSHG,2024-12-02 14:19:00,1472.64,1472.7,1472.18,1472.18,2990.0,4402152.0
600519.XSHG,2024-12-02 14:20:00,1472.16,1472.51,1471.98,1472.51,9527.0,14025022.0
600519.XSHG,2024-12-02 14:21:00,1472.51,1472.51,1472.23,1472.24,5695.0,8385651.0
600519.XSHG,2024-12-02 14:22:00,1472.22,1472.28,1472.18,1472.18,8181.0,12043954.0
600519.XSHG,2024-12-02 14:23:00,1472.18,1472.18,1471.98,1471.98,4971.0,7316934.0
600519.XSHG,2024-12-02 14:24:00,1471.99,1472.57,1471.99,1472.57,9941.0,14634081.0
600519.XSHG,2024-12-02 14:25:00,1472.6,1472.6,1470.82,1470.82,15637.0,23014872.0
600519.XSHG,2024-12-02 14:26:00,1470.73,1470.73,1469.76,1469.95,13358.0,19637728.0
600519.XSHG,2024-12-02 14:27:00,1470.03,1470.56,1470.03,1470.24,10873.0,15985533.0
600519.XSHG,2024-12-02 14:28:00,1470.24,1470.27,1470.22,1470.27,6627.0,9743919.0
600519.XSHG,2024-12-02 14:29:00,1470.24,1470.28,1470.12,1470.12,9941.0,14615907.0
600519.XSHG,2024-12-02 14:30:00,1470.06,1470.08,1469.76,1469.76,16362.0,24048536.0
600519.XSHG,2024-12-02 14:31:00,1469.76,1469.77,1469.64,1469.64,7145.0,10501738.0
600519.XSHG,2024-12-02 14:32:00,1469.29,1469.29,1468.76,1468.76,14601.0,21447234.0
600519.XSHG,2024-12-02 14:33:00,1468.76,1468.76,1468.7,1468.71,6938.0,10190231.0
600519.XSHG,2024-12-02 14:34:00,1468.7,1468.7,1468.53,1468.53,17604.0,25853368.0
600519.XSHG,2024-12-02 14:35:00,1468.6,1468.75,1468.59,1468.75,9009.0,13231710.0
600519.XSHG,2024-12-02 14:36:00,1468.76,1469.28,1468.75,1469.28,7145.0,10495332.0
600519.XSHG,2024-12-02 14:37:00,1468.82,1469.28,1468.82,1468.86,4763.0,6997378.0
600519.XSHG,2024-12-02 14:38:00,1468.85,1468.85,1468.8,1468.84,13462.0,19773537.0
600519.XSHG,2024-12-02 14:39:00,1468.84,1468.84,1468.8,1468.82,9320.0,13689170.0
600519.XSHG,2024-12-02 14:40:00,1468.8,1468.81,1468.73,1468.8,6938.0,10190647.0
600519.XSHG,2024-12-02 14:41:00,1468.78,1468.78,1468.7,1468.73,11495.0,16882223.0
600519.XSHG,2024-12-02 14:42:00,1468.77,1469.97,1468.77,1469.97,9631.0,14148157.0
600519.XSHG,2024-12-02 14:43:00,1469.97,1469.97,1468.8,1468.83,11702.0,17190353.0
600519.XSHG,2024-12-02 14:44:00,1468.83,1469.28,1468.8,1469.28,20090.0,29508239.0
600519.XSHG,2024-12-02 14:45:00,1469.76,1469.76,1468.81,1468.82,20297.0,29814646.0
600519.XSHG,2024-12-02 14:46:00,1468.82,1469.66,1468.82,1469.11,9009.0,13236040.0
600519.XSHG,2024-12-02 14:47:00,1469.66,1469.7,1469.66,1469.66,13669.0,20088795.0
600519.XSHG,2024-12-02 14:48:00,1469.65,1469.75,1469.65,1469.73,8077.0,11871100.0
600519.XSHG,2024-12-02 14:49:00,1469.73,1469.76,1469.73,1469.75,10977.0,16133048.0
600519.XSHG,2024-12-02 14:50:00,1469.75,1469.8,1469.75,1469.8,12323.0,18111812.0
600519.XSHG,2024-12-02 14:51:00,1469.8,1469.91,1469.8,1469.87,10355.0,15220724.0
600519.XSHG,2024-12-02 14:52:00,1469.89,1470.01,1469.87,1469.95,13669.0,20092367.0
600519.XSHG,2024-12-02 14:53:00,1470.78,1471.19,1469.95,1470.33,16776.0,24667638.0
600519.XSHG,2024-12-02 14:54:00,1470.33,1470.82,1469.98,1470.82,10958.0,16114189.0
600519.XSHG,2024-12-02 14:55:00,1470.82,1470.89,1470.73,1470.89,16993.0,24993819.0
600519.XSHG,2024-12-02 14:56:00,1470.88,1471.64,1470.88,1470.9,12168.0,17902081.0
600519.XSHG,2024-12-02 14:57:00,1471.56,1471.66,1471.3,1471.42,14356.0,21123549.0
600519.XSHG,2024-12-02 14:58:00,1471.42,1471.42,1471.42,1471.42,0.0,0.0
600519.XSHG,2024-12-02 14:59:00,1471.42,1471.42,1471.42,1471.42,0.0,0.0
